"N","miss_rate","mean_M20","sd_M20","cv_M20","mean_M100","sd_M100","cv_M100","sd_ratio","mean_delta"
100,0.1,0.451375703413374,0.371102280603195,0.822158299165996,0.536774357536993,0.332620052126267,0.619664571259523,0.896,0.0854
100,0.25,1.13983922568915,0.517873350399631,0.454338944237089,1.36301597973214,0.480576093772809,0.352582875710123,0.928,0.2232
100,0.4,1.8618361157853,0.597869806853829,0.321118385117185,2.22946020074458,0.556313456149654,0.249528318991234,0.93,0.3676
250,0.1,0.384918071031579,0.104214940010671,0.270745771253024,0.471006947830606,0.109961561461432,0.233460593241564,1.055,0.0861
250,0.25,0.986145887906226,0.178377401437742,0.180883380061007,1.21456423079842,0.174936899652302,0.144032645797007,0.981,0.2284
250,0.4,1.63258252721508,0.238983615102456,0.1463837883345,2.00255185629966,0.226161012865127,0.11293640769085,0.946,0.37
500,0.1,0.377964261927352,0.0721555807980324,0.190905829112228,0.463815512617211,0.0738654146276613,0.159256024471572,1.024,0.0859
500,0.25,0.970394355318787,0.127683321213588,0.131578796304563,1.19181745860298,0.11831720823559,0.0992746056718102,0.927,0.2214
500,0.4,1.59296167712904,0.179778357661988,0.112857930133008,1.95901529117309,0.151186786719538,0.077174888527289,0.841,0.3661
1000,0.1,0.374996614189033,0.0535626437644919,0.142835006338194,0.461718500457592,0.0537127693818494,0.116332287592151,1.003,0.0867
1000,0.25,0.960625086628078,0.103332330106284,0.107567803032288,1.18498009191475,0.0885244013845242,0.0747053912454192,0.857,0.2244
1000,0.4,1.57490910035027,0.147271844812879,0.0935113301333549,1.94556922743376,0.113154744589289,0.0581602252922872,0.768,0.3707
