"n","miss_rate","model","n_reps","mean_tr_mi","mean_tr_fiml","bias","sd_diff","rmse","cor"
100,0.1,"M1",1951,0.536774357536993,5.61396968606705,-5.07719532853006,90.5635678320255,90.6825995217773,0.120688900919734
100,0.1,"M10",1945,0.579840284746795,113.089448703144,-112.509608418398,4589.20997035329,4589.40936988765,0.0011271609334664
100,0.1,"M11",1952,0.465888112071513,1.47212047602417,-1.00623236395265,0.983506439763734,1.40687346695309,0.686571172800348
100,0.1,"M12",1952,0.555494664439514,1.66439076349704,-1.10889609905752,1.38001310683538,1.77005963183618,0.575510447887468
100,0.1,"M2",1951,0.500449117315334,5.57425632389667,-5.07380720658134,173.655914749215,173.685530096736,-0.00739988148126345
100,0.1,"M3",1952,0.46438062039286,1.0573351569875,-0.59295453659464,0.483030875846911,0.764718498142935,0.393439911983363
100,0.1,"M4",1952,0.547086895839704,2.11679532231866,-1.56970842647896,1.50076331172583,2.17143298874865,0.484554420300847
100,0.1,"M5",1952,0.50071680348137,1.14534535095928,-0.644628547477905,0.595607972285988,0.877560872406869,0.402640643461119
100,0.1,"M6",1952,0.544196166319575,2.14411437713422,-1.59991821081465,26.1806660643715,26.2228120695151,-0.0113654487071775
100,0.1,"M7",1913,0.554931389388252,1819.24618764683,-1818.69125625744,49088.7023599963,49109.5580551375,-0.0072857711235078
100,0.1,"M8",1945,0.578541620639313,105.304600127491,-104.726058506852,4257.42147650312,4257.61506973375,-0.000924700216902333
100,0.1,"M9",1949,0.596753871168687,383.635627714508,-383.03887384334,12840.9176310855,12843.3361108057,0.206406782854872
100,0.1,"Msat",1952,1.14691983775789,1.15252946079452,-0.00560962303663118,0.519839672602776,0.519736773664685,0.584865715545254
100,0.25,"M1",1937,1.36215971885162,17.2483782127613,-15.8862184939097,336.333644365241,336.621883598906,0.229975816709483
100,0.25,"M10",1934,1.48401564049694,179.012143873612,-177.528128233115,7463.75107777791,7463.9327471701,-0.00212295712627399
100,0.25,"M11",1940,1.17173389081838,2.15692771584409,-0.985193825025709,0.906031607187805,1.33831125125272,0.655385409649967
100,0.25,"M12",1940,1.37403531712699,2.3948829175041,-1.02084760037711,1.44985559637197,1.77288677768507,0.556260052134702
100,0.25,"M2",1939,1.27239183233702,245.399753913069,-244.127362080732,8219.9949718473,8221.50038096388,0.0436053518070649
100,0.25,"M3",1940,1.17805865590224,1.82150075449078,-0.64344209858854,0.642406216059692,0.909115370047495,0.449967864012771
100,0.25,"M4",1940,1.36553107943837,3.05201864961736,-1.68648757017898,2.69896274712264,3.18196250597165,0.549999826336587
100,0.25,"M5",1940,1.27260988108632,1.98178830634642,-0.709178425260099,0.822352198392116,1.08574793935252,0.408299296563939
100,0.25,"M6",1940,1.37944177847171,6.48058987458881,-5.1011480961171,131.530178143208,131.595181719259,-0.0245945727460799
100,0.25,"M7",1897,1.40559142465241,8677.68815024502,-8676.28255882037,162681.040861421,162869.41976859,0.0244713748525326
100,0.25,"M8",1934,1.48591699127583,155.982100520236,-154.49618352896,6472.58649355618,6472.75698232011,-0.00160281731055638
100,0.25,"M9",1938,1.512156568469,156.511201989839,-154.99904542137,5864.68112107206,5865.21627425958,-0.00118423086133646
100,0.25,"Msat",1940,2.93363029283172,2.956949510494,-0.0233192176622765,0.890962528608596,0.891038063555967,0.534697809031833
100,0.4,"M1",1946,2.22847946825388,18.8917752882369,-16.663295819983,355.148933434638,355.448470174136,0.0662367779058324
100,0.4,"M10",1945,2.44282573251372,485.402604824705,-482.959779092192,11710.3647833837,11717.3114788777,0.108982376935564
100,0.4,"M11",1949,1.90955285587609,2.9683604670281,-1.05880761115201,1.68292542685638,1.98792816138702,0.452234439650913
