"method","n_reps","mean_tr_RIV","term1","se1","term2","se2","term3","se3","total","se_total","r_term1","r_term2","r_term3","r_total"
"amelia",1989,2.02296596974228,1.71844548882205,0.1733286574433,-0.0560542671135282,0.00393269464197468,-1.03245803676086,0.00823471299557988,0.62993318494766,0.169066400683398,0.849468312628597,-0.027708952079243,-0.510368465017922,0.311390895531432
"pmm",496,2.01899909705358,-0.792275270650861,0.344376056802983,-0.0762156914845711,0.00595506198471992,-1.00030975482035,0.0147780998452478,-1.86880071695578,0.337292865296854,-0.392409918264484,-0.0377492449579578,-0.495448341844309,-0.92560750506675
