"method","model","tr_RIV","term1","term2","term3","total"
"amelia","M1",1.8876495193458,5.83194564497671,0.0044186097934471,-2.04442065994999,3.79194359482017
"amelia","M2",1.84293409418228,4.76267682321077,-0.0798012956979619,-1.88105161212252,2.80182391539029
"amelia","M3",1.65540235107631,3.83160311017809,-0.196630745581842,-1.63762541510596,1.99734694949029
"amelia","M4",1.57855992644052,6.21137664432945,-0.101823370625425,-1.40822892914775,4.70132434455627
"amelia","M5",1.7898467809699,3.69349546041485,-0.235580372287131,-1.70307069013779,1.75484439798993
"amelia","M6",1.9727331188553,5.47270827762122,-0.0633454270173388,-2.07711702566849,3.3322458249354
"amelia","M7",1.94638386372137,5.17340161319953,-0.209403128627855,-1.81021606179547,3.1537824227762
"amelia","M8",1.9813772166053,5.589589388484,-0.00215375571679033,-2.13737763338077,3.45005799938644
"amelia","M9",2.0708016991249,5.24390469546279,-0.0863135697140933,-2.15733439598125,3.00025672976744
"amelia","M10",1.97911390882713,5.58408685696395,0.0032038322583503,-2.13737557232935,3.44991511689295
"amelia","M11",1.4807257163447,7.22989429265681,0.146706529767471,-1.60752702467107,5.76907379775321
"amelia","M12",1.6955279009183,4.75370154035454,-0.218195272862431,-1.600344167809,2.93516209968311
"amelia","Msat",4.24469382982173,8.21639658666891,0.122282664447994,-3.20895209896662,5.12972715215028
"amelia","M1",1.89581274302029,5.14827096986937,-0.179058545094904,-0.786645408913955,4.18256701586051
"amelia","M2",1.80753740470501,5.27442691699298,-0.174817864198303,-0.770759416292094,4.32884963650258
"amelia","M3",1.73181652047885,5.25952609759406,-0.140791880271991,-0.800262807693798,4.31847140962827
"amelia","M4",1.60182972367963,1.76574917325343,-0.262995596192013,-0.605572136020328,0.897181441041084
"amelia","M5",1.82121307987477,5.25814975413823,-0.133635479224267,-0.805504002181351,4.31901027273261
"amelia","M6",1.98375554236983,5.15749860007509,-0.179243458627298,-0.78601764914265,4.19223749230514
"amelia","M7",1.83656772642221,1.23820893312586,-0.17961171297884,-0.954581545252495,0.104015674894526
