"method","mean_abs_gap"
"MI_BIC_nocor",0.687446233723002
"MI_BIC_sub",0.768113729456958
"BIC_adhoc",0.81091082436791
"MI_BIC_sub2",0.871804429820029
"MI_BIC_add",0.911128652161335
