"N","miss_rate","n_pairs","BIC_adhoc__bias","BIC_adhoc__rmse","BIC_adhoc__sgn","MI_BIC_add__bias","MI_BIC_add__rmse","MI_BIC_add__sgn","MI_BIC_sub__bias","MI_BIC_sub__rmse","MI_BIC_sub__sgn","MI_BIC_nocor__bias","MI_BIC_nocor__rmse","MI_BIC_nocor__sgn"
100,0.1,21131,-0.046880741638834,1.12037712544285,97.946145473475,0.195623279466472,16.8769222786115,97.7663148928115,0.197434772432966,16.7949449928726,97.8183711135299,0.196529025949719,16.8314305316679,97.8231034972316
100,0.25,20977,-0.0533939497573473,1.81938487253968,96.5247652190494,-0.131750550958855,10.0700050297404,95.8239977117796,-0.11454725022118,9.89004876940507,95.9956142441722,-0.123148900590017,9.96000353640222,95.9384087333746
100,0.4,21076,-0.11111055924312,2.32168558758052,95.7534636553426,-0.232973618880848,10.3745581439403,94.6764091858037,-0.205697884984857,10.1252930205568,94.9089011197571,-0.219335751932853,10.2229460630063,94.937369519833
250,0.1,21692,-0.0233922546336765,1.59181958478868,98.58934169279,0.0110379030697395,2.80081182105029,98.58934169279,0.011214417109438,2.8010222535815,98.593951687258,0.0111261600895888,2.79858901412726,98.5801217038539
250,0.25,21703,-0.0278781822195293,2.54563302287066,97.6869557204073,0.0360694922091841,6.19915609929216,97.6685250886974,0.0407822679917962,6.18969865908349,97.6961710362623,0.0384258801004901,6.19116353801961,97.6823480624798
250,0.4,21648,-0.110996195235081,3.25778023499298,97.0667036215817,-0.117693035007166,3.93110652760392,97.020509977827,-0.102287187436161,3.89155525816248,97.0620842572062,-0.109990111221663,3.90216948409192,97.0667036215817
500,0.1,21956,-0.0114161589128723,2.13482277218639,99.4033521588632,0.0100422955195199,5.42874100738297,99.4033521588632,0.0129671995571471,5.42832293455675,99.3987975951904,0.0115047475383335,5.42834578197725,99.4033521588632
500,0.25,21923,-0.069784137742024,3.44693759362169,98.8870136386443,-0.0989636161089909,3.55131203804364,98.8642065410756,-0.0902525165550505,3.54010817101154,98.8824522191306,-0.0946080663320207,3.54416724147379,98.8915750581581
500,0.4,21868,-0.145389638976366,4.33722606016613,98.4132065117981,-0.204762865809567,4.41444095227826,98.4360709712822,-0.188179408879254,4.38701958111649,98.4132065117981,-0.19647113734441,4.39733590721733,98.4269251874886
1000,0.1,22000,-0.00596848869888411,2.96909732943182,99.9,-0.0249207189813343,2.97030041016063,99.9090909090909,-0.0208145463227793,2.96867699453524,99.9,-0.0228676326520568,2.96928005776557,99.9
1000,0.25,22000,-0.0188073381707464,4.7861446067752,99.8409090909091,-0.067381891612763,4.79080985059993,99.8090909090909,-0.0563741317909829,4.78435408766089,99.8409090909091,-0.061878011701873,4.78675524531471,99.8227272727273
1000,0.4,22000,-0.071258502030136,6.09035425676814,99.7,-0.152264870364181,6.10186962882906,99.7272727272727,-0.132362619465122,6.08652233115984,99.7136363636364,-0.142313744914652,6.09238880963877,99.7136363636364
