"model","df","n_reps","com","adhoc","MI","D3"
"M2",23,1989,27.25,47.61,29.96,38.21
"M3",24,1989,41.93,61.74,42.84,51.68
"M4",25,1989,100,100,100,100
"M5",23,1989,42.48,61.44,42.13,51.38
"M6",21,1989,6.74,20.51,9.55,15.08
"M7",22,1979,99.95,99.95,99.9,99.95
"M8",21,1989,6.28,20.97,8.9,14.33
"M9",20,1989,6.54,20.51,9.45,14.23
"M10",21,1989,6.28,20.97,8.95,14.33
"M11",25,1989,100,100,100,100
"M12",24,1989,99.95,99.95,99.8,99.9
