"model","df","n_reps","com","adhoc","MI","D3"
"M2",23,496,28.43,47.58,28.43,37.5
"M3",24,496,44.76,60.69,41.73,52.02
"M4",25,496,100,100,100,100
"M5",23,496,44.35,61.69,42.54,51.61
"M6",21,496,7.86,19.76,11.09,16.13
"M7",22,493,100,100,100,100
"M8",21,496,7.26,19.76,9.27,14.31
"M9",20,496,7.46,19.96,10.48,14.11
"M10",21,496,7.26,19.76,9.27,14.31
"M11",25,496,100,100,100,100
"M12",24,496,100,99.8,99.19,99.8
